plotID	nlcdClass	envoBroadScale_id	envoBroadScale_label	envoLocalScale_id	envoLocalScale_label
NIWO_040	evergreenForest	ENVO:01000211	temperate coniferous forest biome	ENVO:01000383	temperate evergreen needleleaf forest
NIWO_041	shrubScrub	ENVO:01000215	temperate shrubland biome	ENVO:01000869	area of scrub
NIWO_042	grasslandHerbaceous	ENVO:01000193	temperate grassland biome	ENVO:01001811	temperate grassland
NIWO_043	grasslandHerbaceous	ENVO:01000193	temperate grassland biome	ENVO:01001811	temperate grassland
OAES_001	grasslandHerbaceous	ENVO:01000193	temperate grassland biome	ENVO:01001811	temperate grassland
OAES_002	grasslandHerbaceous	ENVO:01000193	temperate grassland biome	ENVO:01001811	temperate grassland
OAES_003	grasslandHerbaceous	ENVO:01000193	temperate grassland biome	ENVO:01001811	temperate grassland
OAES_004	grasslandHerbaceous	ENVO:01000193	temperate grassland biome	ENVO:01001811	temperate grassland
OAES_009	shrubScrub	ENVO:01000215	temperate shrubland biome	ENVO:01000869	area of scrub
OAES_042	shrubScrub	ENVO:01000215	temperate shrubland biome	ENVO:01000869	area of scrub
OAES_043	grasslandHerbaceous	ENVO:01000193	temperate grassland biome	ENVO:01001811	temperate grassland
OAES_044	shrubScrub	ENVO:01000215	temperate shrubland biome	ENVO:01000869	area of scrub
OAES_045	shrubScrub	ENVO:01000215	temperate shrubland biome	ENVO:01000869	area of scrub
OSBS_003	deciduousForest	ENVO:01000201	subtropical broadleaf forest biome	ENVO:01000816	area of deciduous forest
OSBS_005	woodyWetlands	ENVO:01000174	forest biome	ENVO:01000893	area of woody wetland
OSBS_026	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
OSBS_031	evergreenForest	ENVO:01000209	subtropical coniferous forest biome	ENVO:01000843	area of evergreen forest
OSBS_063	mixedForest	ENVO:01000198	mixed forest biome	ENVO:01000431	mixed forest
UKFS_001	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
UKFS_002	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
UKFS_003	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
UKFS_004	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
UKFS_005	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
UKFS_009	grasslandHerbaceous	ENVO:01000193	temperate grassland biome	ENVO:01001811	temperate grassland
UKFS_031	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
UKFS_032	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
UKFS_043	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
UKFS_044	deciduousForest	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000385	temperate deciduous broadleaf forest
